Product,Category,Country,Reported packaging type,Sample size (n),Summarized findings (ng/serving),Compounds tested,Phthalates (ng/serving),Phthalate substitutes (ng/serving),Bisphenols (ng/serving),Author,Title,Published,Reporting format,Mean DBP (ng/g),Mean BBP (ng/g),Mean DEHP (ng/g),Mean DINP (ng/g),Mean DIDP (ng/g),Mean DMP (ng/g),Mean DEP (ng/g),Mean DIBP (ng/g),Mean DNHP (ng/g),Mean DCHP (ng/g),Mean DNOP (ng/g),Mean DIDA (ng/g),Mean DEHA (ng/g),Mean DINCH (ng/g),Mean DEHT (ng/g),Mean BPA (ng/g),Mean BPS (ng/g),Mean BPF (ng/g),Serving size (g),Notes,Avg individual phthalate amount (ng/serving),Avg individual phthalate substitute amount (ng/serving),Avg individual bisphenol amount (ng/serving),Phthalates (n),Phthalate substitutes (n),Bisphenols (n)
Brisk iced tea lemon,Beverages,USA,Can,2-3,"7,467 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",7467,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,747,,,10,0,0
Coca-Cola original,Beverages,USA,Plastic,2-3,"6,167 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6167,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,617,,,10,0,0
Lipton diet green tea citrus,Beverages,USA,Plastic,2-3,"4,433 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4433,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,443,,,10,0,0
Poland Spring 100% natural spring water,Beverages,USA,Plastic,2-3,"4,217 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4217,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,422,,,10,0,0
Juicy Juice 100% juice apple,Beverages,USA,Plastic,2-3,"3,348 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",3348,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,335,,,10,0,0
Pepsi cola,Beverages,USA,Can,2-3,"2,938 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2938,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,294,,,10,0,0
Juicy Juice 100% juice apple,Beverages,USA,Cardboard box,2-3,"2,260 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",2260,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,226,,,10,0,0
Gatorade frost thirst quencher glacier freeze,Beverages,USA,Plastic,2-3,"1,752 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1752,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,175,,,10,0,0
Polar seltzer raspberry lime,Beverages,USA,Can,2-3,0 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",0,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,0,,,10,0,0
Hormel chili with beans,Canned beans,USA,Can,2-3,"9,847 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",9847,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,985,,,10,0,0
Bush's chili red beans mild chili sauce,Canned beans,USA,Can,2-3,"6,405 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6405,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,641,,,10,0,0
Great Value (Walmart) baked beans original,Canned beans,USA,Can,2-3,"6,184 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6184,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,618,,,10,0,0
Bush's baked beans original,Canned beans,USA,Can,2-3,"3,709 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",3709,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,371,,,10,0,0
Mrs. Butterworth's syrup original,Condiments,USA,Plastic,2-3,"1,010 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1010,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,101,,,10,0,0
Hunt's tomato ketchup,Condiments,USA,Plastic,2-3,574 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",574,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,57,,,10,0,0
Sweet Baby Ray's barbecue sauce original,Condiments,USA,Plastic,2-3,22 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",22,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,2,,,10,0,0
Fairlife core power high protein milk shake chocolate,Dairy,USA,Plastic,2-3,"20,452 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",20452,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,2045,,,10,0,0
SlimFast high protein meal replacement shake creamy chocolate,Dairy,USA,Plastic,2-3,"16,916 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",16916,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,1692,,,10,0,0
Yoplait original low fat yogurt french vanilla,Dairy,USA,Plastic,2-3,"10,948 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",10948,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,1095,,,10,0,0
Tuscan Dairy Farms whole milk,Dairy,USA,Plastic,2-3,"10,932 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",10932,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,1093,,,10,0,0
Ben & Jerry's ice cream vanilla,Dairy,USA,Paperboard carton,2-3,"6,387 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",6387,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,639,,,10,0,0
Wholesome Pantry (Shoprite) organic whole milk,Dairy,USA,Carton,2-3,"4,620 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",4620,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,462,,,10,0,0
Great Value (Walmart) ice cream homestyle vanilla,Dairy,USA,Paperboard,2-3,"3,068 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",3068,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,307,,,10,0,0
Jell-O pudding snacks original chocolate,Dairy,USA,Plastic,2-3,"1,756 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1756,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,176,,,10,0,0
Sargento sliced natural cheddar cheese sharp,Dairy,USA,Plastic,2-3,"1,481 ng/serving for 10 phthalates","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",1481,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,148,,,10,0,0
Land O'Lakes butter salted,Dairy,USA,Paper wrap/cardboard,2-3,581 ng/serving for 10 phthalates,"Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP",581,0,0,Consumer Reports,The Plastic Chemicals Hiding in Your Food,2024,sum,,,,,,,,,,,,,,,,,,,,,58,,,10,0,0
Wendy's crispy chicken nuggets,Fast food,USA,Paperboard,2-3,"33,980 ng/serving for 10 phthalates
133,330 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",33980,133330,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,3398,44443,,10,3,0
Moe's Southwest Grill chicken burrito,Fast food,USA,Aluminum foil,2-3,"24,330 ng/serving for 10 phthalates
7,813,659 ng/serving for 3 phthalate substitutes","Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP
Phthalate substitutes: DEHA, DINCH, DEHT",24330,7813659,0,Consumer Reports,"The Plastic Chemicals Hiding in Your Food
Fast Food Companies Are Replacing One Toxic Chemical With Another",2024,sum,,,,,,,,,,,,,,,,,,,,,2433,2604553,,10,3,0
